"Nummer";"Län (lokal)";"Art";"Datum";"Vatten";"Sweref99 N (Vatten)";"Sweref99 E (Vatten)";"Lokal";"sweref99N";"sweref99E";"Metodik";"Förekomst"
5436;"Västmanlands län";"Signalkräfta";"2001-01-01";"VÅGSJÖN";6618350;554601;"Vågsjön";6618350;554601;"Enkät";"Säker"
5386;"Västmanlands län";"Signalkräfta";"1996-01-01";"ARBOGAÅN";6588405;562542;"Arbogaån";6588405;562542;"Historik";"Säker"
5387;"Västmanlands län";"Signalkräfta";"1992-01-01";"ARBOGAÅN";6588405;562542;"Arbogaån";6588405;562542;"Historik";"Säker"
5388;"Västmanlands län";"Signalkräfta";"1992-01-01";"ARBOGAÅN";6588405;562542;"Arbogaån";6588405;562542;"Historik";"Säker"
2237;"Västmanlands län";"Signalkräfta";"2010-08-10";"KOLBÄCKSÅN";6598309;572149;"Kolbäcksån, fr.ned. torrf. o upp";6653530;542296;"Elfiske";"Säker"
5487;"Västmanlands län";"Signalkräfta";"1992-01-01";"HJÄLMARE KANAL";6585349;552902;"Hjälmare kanal";6585349;552902;"Historik";"Säker"
5703;"Västmanlands län";"Signalkräfta";"2001-01-01";"GISSLARBOÅN";6608729;546050;"Gisslarboån";6608729;546050;"Uppskattning";"Säker"
5704;"Västmanlands län";"Signalkräfta";"1992-01-01";"GISSLARBOÅN";6608729;546050;"Gisslarboån";6608729;546050;"Historik";"Säker"
5705;"Västmanlands län";"Signalkräfta";"1992-01-01";"GISSLARBOÅN";6608729;546050;"Knäppmorabäcken";6628458;551374;"Historik";"Säker"
8890;"Västmanlands län";"Signalkräfta";"2000-08-13";"SNYTSBOÅN";6647560;556135;"Sågholmenområdet";6648084;556448;"Elfiske";"Säker"
5793;"Västmanlands län";"Signalkräfta";"2001-01-01";"OLOF-JONS DAMM";6647521;584897;"Olof-jons damm";6647521;584897;"Uppskattning";"Finns troligen"
5794;"Västmanlands län";"Signalkräfta";"1992-01-01";"OLOF-JONS DAMM";6647521;584897;"Olof jons damm";6647521;584897;"Historik";"Säker"
5795;"Västmanlands län";"Signalkräfta";"2001-01-01";"NYBROBÄCKEN";6622810;566203;"Nybrobäcken";6622810;566203;"Uppskattning";"Finns troligen"
5796;"Västmanlands län";"Signalkräfta";"1992-01-01";"NYBROBÄCKEN";6622810;566203;"Nybrobäcken";6622810;566203;"Historik";"Säker"
5797;"Västmanlands län";"Signalkräfta";"1992-01-01";"MYRBÄCKEN";6637244;596419;"Myrbäcken";6637244;596419;"Historik";"Säker"
